五分K,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,成交時間,漲幅
2022-01-10 13:30:00,47.3,0,11912.0,47.45,47.5,47.0,47.45,13:30:00,-0.3161222339304651
2022-01-11 13:30:00,47.5,-882,11030.0,47.1,47.5,47.1,47.3,13:30:00,0.42283298097252187
