五分K,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,成交時間,漲幅
2022-01-10 13:30:00,643.0,0,38169.0,628.0,645.0,627.0,634.0,13:30:00,1.4195583596214512
2022-01-11 13:30:00,651.0,-5274,32895.0,646.0,651.0,639.0,643.0,13:30:00,1.2441679626749609
