五分K,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,成交時間,漲幅
2022-01-10 13:30:00,227.5,0,12364.0,213.5,228.0,206.5,223.5,13:30:00,1.7897091722595078
2022-01-11 13:30:00,207.5,-3626,8738.0,219.0,222.5,205.5,227.5,13:30:00,-8.791208791208794
