,ma30,1/7,1/6,1/5,1/4
223.5,2585,2585,,,
224.0,190,190,,,
224.5,54,54,,,
225.0,62,62,,,
225.5,132,132,,,
226.0,247,247,,,
226.5,147,147,,,
227.0,165,165,,,
227.5,123,123,,,
228.0,154,154,,,
228.5,75,75,,,
229.0,173,173,,,
229.5,281,281,,,
230.0,276,276,,,
230.5,73,73,,,
231.0,38,38,,,
231.5,79,24,,,
232.0,135,126,,,
232.5,118,114,,,
233.0,100,88,,,
233.5,90,56,,,
234.0,112,102,,,
234.5,101,83,,,
235.0,227,154,,,
235.5,170,147,,,
236.0,214,177,,,
236.5,64,54,,,
237.0,500,435,,,
237.5,65,25,,,
238.0,131,,,,
238.5,104,,,,
239.0,148,,,,
239.5,231,,,,
240.0,535,,,,
240.5,178,,,,
241.0,188,,,,
241.5,212,,,,
242.0,282,,,,
242.5,348,,,,
243.0,338,,,,
243.5,355,,,,
244.0,412,,,,
244.5,273,,,,
245.0,1132,,,,
245.5,593,,,,
246.0,1018,,,,
246.5,862,,6.0,,
247.0,1058,,115.0,,
247.5,1188,,141.0,,
248.0,1284,,448.0,,
248.5,920,,148.0,,
249.0,1686,,119.0,,
249.5,2003,,137.0,,
250.0,3851,,325.0,,
250.5,1948,,231.0,,
251.0,1844,,134.0,,
251.5,2004,,119.0,,
252.0,1584,,199.0,,
252.5,1252,,191.0,40.0,
253.0,1927,,290.0,160.0,
253.5,1744,,234.0,192.0,
254.0,2070,,309.0,229.0,
254.5,2158,,167.0,168.0,
255.0,2761,,170.0,257.0,
255.5,1747,,162.0,125.0,
256.0,2079,,230.0,246.0,
256.5,1845,,111.0,273.0,
257.0,2519,,60.0,146.0,
257.5,2274,,41.0,352.0,
258.0,2993,,92.0,650.0,
258.5,2756,,86.0,254.0,
259.0,2961,,115.0,244.0,
259.5,1848,,34.0,194.0,
260.0,3084,,48.0,251.0,
260.5,2085,,39.0,177.0,
261.0,3873,,27.0,273.0,
261.5,3195,,95.0,47.0,
262.0,3126,,148.0,16.0,
262.5,2045,,12.0,14.0,
263.0,3250,,,32.0,
263.5,2777,,,97.0,292.0
264.0,4419,,,156.0,198.0
264.5,3261,,,153.0,202.0
265.0,3704,,,36.0,191.0
265.5,2587,,,12.0,75.0
266.0,3399,,,112.0,83.0
266.5,2570,,,73.0,100.0
267.0,3579,,,55.0,259.0
267.5,2999,,,4.0,161.0
268.0,3641,,,,156.0
268.5,2748,,,,195.0
269.0,3837,,,,147.0
269.5,4341,,,,106.0
270.0,3000,,,,110.0
270.5,2820,,,,81.0
271.0,4004,,,,125.0
271.5,3543,,,,48.0
272.0,4821,,,,92.0
272.5,3191,,,,53.0
273.0,4567,,,,3.0
273.5,3279,,,,
274.0,4971,,,,
274.5,3628,,,,
275.0,5524,,,,
275.5,3839,,,,
276.0,5504,,,,
276.5,4291,,,,
277.0,4235,,,,
277.5,3386,,,,
278.0,3786,,,,
278.5,3378,,,,
279.0,3945,,,,
279.5,2794,,,,
280.0,5491,,,,
280.5,3608,,,,
281.0,4683,,,,
281.5,4865,,,,
282.0,6354,,,,
282.5,4788,,,,
283.0,5652,,,,
283.5,5266,,,,
284.0,6215,,,,
284.5,5561,,,,
285.0,8244,,,,
285.5,5790,,,,
286.0,9162,,,,
286.5,4508,,,,
287.0,5476,,,,
287.5,5589,,,,
288.0,7109,,,,
288.5,5282,,,,
289.0,6859,,,,
289.5,4781,,,,
290.0,6317,,,,
290.5,4988,,,,
291.0,4111,,,,
291.5,3411,,,,
292.0,2759,,,,
292.5,1946,,,,
293.0,2478,,,,
293.5,1459,,,,
294.0,1956,,,,
294.5,1317,,,,
295.0,1159,,,,
295.5,305,,,,
296.0,459,,,,
296.5,611,,,,
297.0,327,,,,
297.5,41,,,,
298.0,138,,,,
298.5,208,,,,
299.0,255,,,,
299.5,109,,,,
